"","id","time","Prop"
"595",12,3300,0.625
"596",12,3400,0.6125
"597",12,3500,0.6
"598",12,3600,0.6
"599",12,3700,0.606060606060606
"600",12,3800,0.638461538461538
"601",12,3900,0.641025641025641
"602",12,4000,0.641025641025641
"603",12,4100,0.643589743589744
"604",12,4200,0.666666666666667
"605",12,4300,0.663265306122449
"606",12,4400,0.65
"607",12,4500,0.644670050761421
"608",12,4600,0.641025641025641
"609",12,4700,0.651041666666667
"610",12,4800,0.657894736842105
"611",12,4900,0.667673716012085
"612",12,5000,0.685714285714286
"613",13,0,0.533707865168539
"614",13,100,0
"615",13,200,0.536585365853659
"616",13,300,0.562005277044855
"617",13,400,0.583547557840617
"618",13,500,0.58
"619",13,600,0.59
"620",13,700,0.595
"621",13,800,0.6125
"622",13,900,0.5675
"623",13,1000,0.5275
"624",13,1100,0.5275
"625",13,1200,0.5525
"626",13,1300,0.49
"627",13,1400,0.475
"628",13,1500,0.51
"629",13,1600,0.575
"630",13,1700,0.555
"631",13,1800,0.53904282115869
"632",13,1900,0.515384615384615
"633",13,2000,0.535897435897436
"634",13,2100,0.521410579345088
"635",13,2200,0.5
"636",13,2300,0.5
"637",13,2400,0.485
"638",13,2500,0.4825
"639",13,2600,0.475
"640",13,2700,0.52
"641",13,2800,0.525
"642",13,2900,0.5275
"643",13,3000,0.5375
"644",13,3100,0.556962025316456
"645",13,3200,0.566666666666667
"646",13,3300,0.587179487179487
"647",13,3400,0.60969387755102
"648",13,3500,0.635
"649",13,3600,0.6175
"650",13,3700,0.6325
"651",13,3800,0.62
"652",13,3900,0.625
"653",13,4000,0.675
"654",13,4100,0.6775
"655",13,4200,0.67
"656",13,4300,0.6675
"657",13,4400,0.61734693877551
"658",13,4500,0.623076923076923
"659",13,4600,0.664102564102564
"660",13,4700,0.633333333333333
"661",13,4800,0.653846153846154
"662",13,4900,0.703170028818444
"663",13,5000,0.710526315789474
"664",14,0,0.533707865168539
"665",14,100,0.533707865168539
"666",14,200,0.488
"667",14,300,0.497126436781609
"668",14,400,0.486842105263158
"669",14,500,0.503896103896104
"670",14,600,0.489690721649485
"671",14,700,0.448717948717949
"672",14,800,0.458974358974359
"673",14,900,0.441025641025641
"674",14,1000,0.392764857881137
"675",14,1100,0.423592493297587
"676",14,1200,0.490566037735849
"677",14,1300,0.526315789473684
"678",14,1400,0.536269430051813
"679",14,1500,0.512820512820513
"680",14,1600,0.494871794871795
"681",14,1700,0.569974554707379
"682",14,1800,0.597435897435897
"683",14,1900,0.543589743589744
"684",14,2000,0.502645502645503
"685",14,2100,0.532432432432432
"686",14,2200,0.538258575197889
"687",14,2300,0.552631578947368
"688",14,2400,0.568421052631579
"689",14,2500,0.568475452196382
"690",14,2600,0.58974358974359
"691",14,2700,0.530769230769231
"692",14,2800,0.476923076923077
"693",14,2900,0.525641025641026
"694",14,3000,0.543589743589744
"695",14,3100,0.532133676092545
"696",14,3200,0.506702412868633
"697",14,3300,0.506887052341598
"698",14,3400,0.49438202247191
"699",14,3500,0.465714285714286
"700",14,3600,0.432352941176471
"701",14,3700,0.46264367816092
"702",14,3800,0.451523545706371
"703",14,3900,0.494594594594595
"704",14,4000,0.51219512195122
"705",14,4100,0.5
"706",14,4200,0.505555555555556
"707",14,4300,0.522222222222222
"708",14,4400,0.466666666666667
"709",14,4500,0.491428571428571
"710",14,4600,0.445427728613569
"711",14,4700,0.496875
"712",14,4800,0.490625
"713",14,4900,0.487544483985765
"714",14,5000,0.517241379310345
"715",15,0,1
"716",15,100,0.92
"717",15,200,0.626984126984127
"718",15,300,0.595800524934383
"719",15,400,0.569974554707379
"720",15,500,0.5725
"721",15,600,0.576441102756892
"722",15,700,0.6
"723",15,800,0.642317380352645
"724",15,900,0.6375
"725",15,1000,0.6025
"726",15,1100,0.605128205128205
"727",15,1200,0.6
"728",15,1300,0.5725
"729",15,1400,0.5125
"730",15,1500,0.4925
"731",15,1600,0.465
"732",15,1700,0.4725
"733",15,1800,0.475
"734",15,1900,0.4975
"735",15,2000,0.49
"736",15,2100,0.515
"737",15,2200,0.4825
"738",15,2300,0.4475
"739",15,2400,0.45
"740",15,2500,0.49
"741",15,2600,0.4925
"742",15,2700,0.505
"743",15,2800,0.503759398496241
"744",15,2900,0.533333333333333
"745",15,3000,0.587179487179487
"746",15,3100,0.564102564102564
"747",15,3200,0.593984962406015
"748",15,3300,0.5875
"749",15,3400,0.5525
"750",15,3500,0.475
"751",15,3600,0.4575
"752",15,3700,0.45
"753",15,3800,0.485
"754",15,3900,0.475
"755",15,4000,0.465
"756",15,4100,0.4325
"757",15,4200,0.4025
"758",15,4300,0.4175
"759",15,4400,0.4225
"760",15,4500,0.422391857506361
"761",15,4600,0.4
"762",15,4700,0.365728900255754
"763",15,4800,0.31
"764",15,4900,0.273504273504274
"765",15,5000,0.256410256410256
"766",16,0,0.533707865168539
"767",16,100,0.333333333333333
"768",16,200,0.480176211453745
"769",16,300,0.478609625668449
"770",16,400,0.489795918367347
"771",16,500,0.485
"772",16,600,0.5225
"773",16,700,0.565
"774",16,800,0.5425
"775",16,900,0.5575
"776",16,1000,0.635
"777",16,1100,0.6425
"778",16,1200,0.63
"779",16,1300,0.6325
"780",16,1400,0.651399491094148
"781",16,1500,0.592307692307692
"782",16,1600,0.564102564102564
"783",16,1700,0.564102564102564
"784",16,1800,0.51025641025641
"785",16,1900,0.482233502538071
"786",16,2000,0.5075
"787",16,2100,0.47
"788",16,2200,0.5
"789",16,2300,0.505
"790",16,2400,0.4825
"791",16,2500,0.4325
"792",16,2600,0.3975
"793",16,2700,0.3775
"794",16,2800,0.3825
"795",16,2900,0.3925
"796",16,3000,0.35
"797",16,3100,0.3925
"798",16,3200,0.345
"799",16,3300,0.37
"800",16,3400,0.37696335078534
"801",16,3500,0.402631578947368
"802",16,3600,0.428947368421053
"803",16,3700,0.471052631578947
"804",16,3800,0.481578947368421
"805",16,3900,0.513513513513513
"806",16,4000,0.505555555555556
"807",16,4100,0.464285714285714
"808",16,4200,0.506811989100817
"809",16,4300,0.560646900269542
"810",16,4400,0.539473684210526
"811",16,4500,0.526315789473684
"812",16,4600,0.536842105263158
"813",16,4700,0.539473684210526
"814",16,4800,0.610526315789474
"815",16,4900,0.587719298245614
"816",16,5000,0.552631578947368
